movie_title,movie_year,song_title,song_year_released
The Godfather,1972,The Godfather,1972
Kill Bill: Vol. 1,2003,Bang Bang (My Baby Shot Me Down),1966
Kill Bill: Vol. 1,2003,Don't Let Me Be Misunderstood,1964
The Hateful Eight,2015,Apple Blossom,2000
Pulp Fiction,1994,Misirlou,1993
Pulp Fiction,1994,Jungle Boogie,1973
V for Vendetta,2005,1812 Overture,1880
Star Wars: Episode IV - A New Hope,1977,Imperial Attack,1977
Star Wars: Episode IV - A New Hope,1977,Princess Leia's Theme,1977
Train to Busan,2016,Goodbye World,2016
Scott Pilgrim vs. the World,2010,Black Sheep,2010
Mulan,1998,Reflection,1998
Mulan,1998,I'll Make a Man Out of You,1998
Your Name,2016,Kimi no Na wa,2016
A Star Is Born,2018,I'll Never Love Again,2018
A Star Is Born,2018,Shallow,2018
