name,date_of_birth,artist_name,since
Nino Rota,3-Dec-11,Nino Rota,
Cherilyn Sarkisian,20-May-46,Cher,1963
Nancy Sinatra,8-Jun-40,Nancy Sinatra,
Eunice Waymon,21-Feb-33,Nina Simone,1954
Jack White,8-Jul-75,The White Stripes,1997
Meg White,10-Dec-74,The White Stripes,1997
Richard Monsour,4-May-37,Dick Dale,1959
Pyotr Ilyich Tchaikovsky,"May 7, 1840",Pyotr Ilyich Tchaikovsky,
Robert Bell,8-Oct-50,Kool & The Gang,1964
Ronald Bell,1-Nov-51,Kool & The Gang,1964
John Williams,"February 8, 1832",John Williams,
Young-gyu Jang,21-May-05,Young-gyu Jang,
Emily Haines,25-Jan-74,Metric,1998
Brianne Desaulniers,1-Oct-89,Brie Larson,1998
Maria Salonga,24-May-05,Lea Salonga,
Donald Osmond,9-Dec-57,Donny Osmond,1963
Yojiro Noda,5-Jul-85,Radwimp,2001
Stefani Germanotta,28-Mar-86,Lady Gaga,2001
Bradley Cooper,5-Jan-75,Bradley Cooper,
