title,year_released,name
The Godfather,1972,Nino Rota
Bang Bang (My Baby Shot Me Down),1966,Cher
Bang Bang (My Baby Shot Me Down),1966,Nancy Sinatra
Don't Let Me Be Misunderstood,1964,Nina Simone
Apple Blossom,2000,The White Stripes
Misirlou,1993,Dick Dale
1812 Overture,1880,Pyotr Ilyich Tchaikovsky
Jungle Boogie,1973,Kool & The Gang
Imperial Attack,1977,John Williams
Princess Leia's Theme,1977,John Williams
Goodbye World,2016,Young-gyu Jang
Black Sheep,2010,Metric
Black Sheep,2010,Brie Larson
Reflection,1998,Lea Salonga
I'll Make a Man Out of You,1998,Donny Osmond
Kimi no Na wa,2016,Radwimp
Shallow,2018,Lady Gaga
Shallow,2018,Bradley Cooper
I'll Never Love Again,2018,Lady Gaga
I'll Never Love Again,2018,Bradley Cooper
