name,title,year,rating
IMDb,Jaws,1975,8
Metacritic,Jaws,1975,8.7
Rotten Tomatoes,Jaws,1975,9.7
IMDb,The Godfather,1972,9.2
Metacritic,The Godfather,1972,10
Rotten Tomatoes,The Godfather,1972,9.8
IMDb,Kill Bill: Vol. 1,2003,8.1
Metacritic,Kill Bill: Vol. 1,2003,6.9
Rotten Tomatoes,Kill Bill: Vol. 1,2003,8.4
IMDb,The Hateful Eight,2015,7.8
Metacritic,The Hateful Eight,2015,6.8
Rotten Tomatoes,The Hateful Eight,2015,7.4
IMDb,Pulp Fiction,1994,8.9
Metacritic,Pulp Fiction,1994,9.4
Rotten Tomatoes,Pulp Fiction,1994,9.4
IMDb,V for Vendetta,2005,8.2
Metacritic,V for Vendetta,2005,6.2
Rotten Tomatoes,V for Vendetta,2005,7.3
IMDb,Star Wars: Episode IV - A New Hope,1977,8.6
Metacritic,Star Wars: Episode IV - A New Hope,1977,9
Rotten Tomatoes,Star Wars: Episode IV - A New Hope,1977,9.3
IMDb,Train to Busan,2016,7.5
Metacritic,Train to Busan,2016,7.2
Rotten Tomatoes,Train to Busan,2016,9.6
IMDb,Scott Pilgrim vs. the World,2010,7.5
Metacritic,Scott Pilgrim vs. the World,2010,6.9
Rotten Tomatoes,Scott Pilgrim vs. the World,2010,8.1
IMDb,Mulan,1998,7.6
Metacritic,Mulan,1998,7.1
Rotten Tomatoes,Mulan,1998,8.6
IMDb,Heathers,1988,7.3
Metacritic,Heathers,1988,7.2
Rotten Tomatoes,Heathers,1988,9.6
IMDb,The Avengers,2012,8.1
Metacritic,The Avengers,2012,6.9
Rotten Tomatoes,The Avengers,2012,6.8
IMDb,Your Name,2016,8.4
Metacritic,Your Name,2016,7.9
Rotten Tomatoes,Your Name,2016,9.7
IMDb,A Star Is Born,2018,8.4
Metacritic,A Star Is Born,2018,8.8
Rotten Tomatoes,A Star Is Born,2018,9
